,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
74,53.79,53.79,52.24,52.35,27932100,'BRL',0,VALE3,2022-05-07
75,52.96,53.6,52.24,53.17,25563600,'BRL',0,VALE3,2022-05-06
76,53.03,54.37,52.99,53.72,26452500,'BRL',0,VALE3,2022-05-05
77,54.53,54.63,53.44,53.72,37728900,'BRL',0,VALE3,2022-05-04
78,53.76,54.06,53.29,53.69,53960600,'BRL',1,VALE3,2022-05-03
79,53.71,54.34,53.55,54.06,25908500,'BRL',0,VALE3,2022-05-02
80,54.04,54.21,53.09,53.27,23726500,'BRL',0,VALE3,2022-05-01
81,53.32,54.02,53.22,53.77,25079300,'BRL',0,VALE3,2022-04-30
82,53.98,55.54,53.53,55.19,91477904,'BRL',1,VALE3,2022-04-29
83,55.08,57.89,55.08,56.93,62475900,'BRL',1,VALE3,2022-04-28
84,56.95,57.29,56.16,56.49,22854400,'BRL',0,VALE3,2022-04-27
85,56.71,57.57,56.5,57.57,25909000,'BRL',0,VALE3,2022-04-26
86,57.74,58.18,57.34,58.18,23061300,'BRL',0,VALE3,2022-04-25
87,58.49,60.63,58.23,60.6,38662400,'BRL',0,VALE3,2022-04-24
88,60.4,63.66,59.66,63.58,49910300,'BRL',0,VALE3,2022-04-23
89,62.73,64.52,62.57,64.18,36269100,'BRL',0,VALE3,2022-04-22
90,64.11,65.11,64.09,65.09,20359000,'BRL',0,VALE3,2022-04-21
91,65.45,66.97,65.26,66.68,48966700,'BRL',0,VALE3,2022-04-20
92,67.03,67.46,65.56,66.3,48594200,'BRL',0,VALE3,2022-04-19
93,67.86,69.28,67.37,69.07,61441200,'BRL',0,VALE3,2022-04-18
94,68.77,69.07,65.72,67.87,53702800,'BRL',0,VALE3,2022-04-17
95,68.85,68.9,66.82,67.12,35158600,'BRL',0,VALE3,2022-04-16
96,68.09,70.28,68.09,69.69,48656900,'BRL',0,VALE3,2022-04-15
97,70.06,70.55,69.42,70.51,27398500,'BRL',0,VALE3,2022-04-14
98,70.53,70.81,69.42,70.47,28598800,'BRL',0,VALE3,2022-04-13
99,70.64,71.26,69.89,70.3,26938500,'BRL',0,VALE3,2022-04-12
100,71.11,72.44,70.72,72.25,41230700,'BRL',0,VALE3,2022-04-11
101,71.93,72.49,71.74,72.14,25136800,'BRL',0,VALE3,2022-04-10
102,72.43,72.44,70.51,71.02,20931700,'BRL',0,VALE3,2022-04-09
103,71.54,72.58,71.41,71.83,18762800,'BRL',0,VALE3,2022-04-08
104,72.17,73.3,71.71,73.29,23038300,'BRL',0,VALE3,2022-04-07
105,73.53,74.76,73.25,74.13,21367800,'BRL',0,VALE3,2022-04-06
106,74.48,75.13,74.32,74.64,23843100,'BRL',0,VALE3,2022-04-05
107,73.23,74.3,72.07,73.84,31877300,'BRL',0,VALE3,2022-04-04
108,73.84,73.95,72.62,73.9,23157000,'BRL',0,VALE3,2022-04-03
109,73.56,74.41,73.45,74.26,17710200,'BRL',0,VALE3,2022-04-02
110,74.63,75.3,74.02,74.22,26001300,'BRL',0,VALE3,2022-04-01
111,74.78,74.98,73.54,74.01,19727500,'BRL',0,VALE3,2022-03-31
112,74.12,74.46,73.66,74.34,30102700,'BRL',0,VALE3,2022-03-30
113,75.95,77.76,75.53,77.75,37865500,'BRL',0,VALE3,2022-03-29
114,77.75,79.06,76.95,79.06,34300300,'BRL',0,VALE3,2022-03-28
115,80.74,81.9,80.25,81.27,53722500,'BRL',0,VALE3,2022-03-27
116,82.12,87.16,82.12,86.98,74541400,'BRL',0,VALE3,2022-03-26
117,87.56,87.85,83.48,86.71,58562700,'BRL',0,VALE3,2022-03-25
118,85.22,86.69,84.75,86.69,29266700,'BRL',0,VALE3,2022-03-24
119,87.13,87.23,84.31,84.32,28598500,'BRL',0,VALE3,2022-03-23
120,84.05,84.09,81.38,81.79,31658800,'BRL',0,VALE3,2022-03-22
121,82.64,84.04,82.2,83.14,20806700,'BRL',0,VALE3,2022-03-21
122,82.1,82.63,79.23,79.52,31712400,'BRL',0,VALE3,2022-03-20
